zinc_id,smiles
ZINC000390822379,Cc1ccn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)c1
ZINC000116778143,Cc1ccc(C(=O)Nc2cc(-n3cncc3C)cc(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1
ZINC001775963151,Cc1ccc(C(=O)Nc2cc(-n3cc(C)[n+]([O-])c3)cc(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1
ZINC000071317807,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nc(-c5cccnc5)cs4)c3)cc(C(F)(F)F)c2)cn1
ZINC000575440206,Cc1cnn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cnccn5)n4)c3)cc(C(F)(F)F)c2)c1
ZINC000071330575,CCc1ccc(C(=O)Nc2cc(-n3cnc(C)c3)cc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)cs1
ZINC000071296557,Cc1cn(-c2cc(NC(=O)c3cccc(Nc4nc(-c5cccnc5)cs4)c3)cc(C(F)(F)F)c2)cn1
ZINC000071329620,Cc1ccc(C(=O)Nc2cc(-n3ccnc3)cc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)cs1
ZINC000071296483,Cc1ncn(-c2cc(NC(=O)c3ccc(C)c(Nc4nc(-c5cccnc5)cs4)c3)cc(C(F)(F)F)c2)n1
ZINC000071317373,Cc1ccc(C(=O)Nc2cc(-c3cnn(C)c3)cc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)cs1
ZINC000033359308,Cc1nc(Nc2ncc(C(=O)Nc3c(Cl)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
ZINC000504123397,Cc1nc(Nc2ncc(C(=O)Nc3c(C)ccc(Cl)c3Cl)s2)cc(N2CCN(CCO)CC2)n1
ZINC000222999469,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCN)CC2)n1
ZINC000022060813,Cc1nc(Nc2ncc(C(=O)Nc3c(Cl)cccc3CO)s2)cc(N2CCN(CCO)CC2)n1
ZINC000101428343,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CC[18F])CC2)n1
ZINC000035643757,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3O)s2)cc(N2CCN(CCO)CC2)n1
ZINC000504610293,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cc(Cl)cc3Cl)s2)cc(N2CCN(CCO)CC2)n1
ZINC000022060324,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cc(O)cc3Cl)s2)cc(N2CCN(CCO)CC2)n1
ZINC000022055422,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CC(=O)O)CC2)n1
ZINC000022005428,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3S)s2)cc(N2CCN(CCO)CC2)n1
ZINC000014952212,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCOCC2)n1
ZINC000033359306,Cc1nc(Nc2ncc(C(=O)Nc3ccccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
ZINC000201874228,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CC[N+](O)(CCO)CC2)n1
ZINC000022055426,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CC[N+]([O-])(CCO)CC2)n1
ZINC001772768788,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(C=O)CC2)n1
